bases_id, title, public_url, og_title,og_type,og_url,og_image,og_site_name,og_description
411,ドリフェス！,http://www.dream-fes.com/anime/,「ドリフェス！アニメ」の最新情報を公開！ - アニメ | 「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト,article,http://www.dream-fes.com/anime/,http://www.dream-fes.com/images/ogp/bnr_release.jpg,「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト,「ドリフェス！」 2.5次元アイドル応援プロジェクト公式サイト。応援でかなえるミラクルステージ！
413,怪獣娘(かいじゅうがーるず)～ウルトラ怪獣擬人化計画～,http://kaiju-gk.jp/anime/,アニメ | ウルトラ怪獣擬人化計画,article,http://kaiju-gk.jp/anime/,,ウルトラ怪獣擬人化計画,
414,デジモンユニバース アプリモンスターズ：アプモン,http://www.toei-anim.co.jp/tv/appmon/,デジモンユニバース アプリモンスターズ,website,http://www.toei-anim.co.jp/tv/appmon/,http://www.toei-anim.co.jp/tv/appmon/images/common/ogp.png,,デジモンユニバース アプリモンスターズ(アプモン)、デジモンの系譜を継ぐ、まったく新しい物語が起動する-バンダイ×バンダイナムコエンターテインメント×東映アニメーションの3社連動ホビー・ゲーム・テレビアニメの超大型プロジェクト!!2016年秋、起動！
415,タイムボカン24(トゥエンティーフォー),http://www.ytv.co.jp/timebokan24/,タイムボカン24｜読売テレビ,website,http://www.ytv.co.jp/timebokan24/,http://www.ytv.co.jp/timebokan24/sns.jpg,タイムボカン24,読売テレビ・日本テレビ系にて放送スタート！アニメ「タイムボカン24」公式サイトです
416,Bloodivores(ブラッディヴォーレス),http://bloodivores.com/,,,,,,
417,ブブキ・ブランキ 星の巨人,http://bbkbrnk.com/,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,website,http://bbkbrnk.com,http://bbkbrnk.com/img/card.png?436298437910,ブブキ・ブランキ 星の巨人 | BUBUKI/BURANKI,2016年10月から放送予定 | @bbkbrnk #ブブキ
418,終末のイゼッタ,http://izetta.jp/,オリジナルアニメ「終末のイゼッタ」公式サイト,,http://izetta.jp/,http://izetta.jp/img/sns.jpg,,終末のイゼッタ　西暦1940年−　少女は、戦場を翔ける
419,WWW.WORKING!!,http://working-www.com/,「WWW.WORKING!!」公式サイト,website,http://working-www.com/,http://working-www.com/share.png,,ご新規さんも常連さんも、ワグナリアにいらっしゃいませ♪
420,魔法少女育成計画,http://mahoiku.jp/,TVアニメ「魔法少女育成計画」公式サイト,website,http://mahoiku.jp/,http://mahoiku.jp/og_img/og_img.jpg,,TVアニメ「魔法少女育成計画」公式サイト。2016年TVアニメーション放送決定！
421,Vivid Strike!,http://vivid-strike.com/,TVアニメ「Vivid Strike !」オフィシャルサイト,website,http://vivid-strike.com/,http://vivid-strike.com/ogp.png,TVアニメ「Vivid Strike !」オフィシャルサイト,「魔法少女リリカルなのは」シリーズの原作/脚本・都築真紀が新たに手がけるTVアニメ『ViVid Strike！』が2016年10月より放送開始！！アニメーション制作はセブン・アークス・ピクチャーズが手がける。キャストはフーカ・レヴェントン役を水瀬いのり、リンネ・ベルリネッタ役を小倉唯が担当し、それぞれアーティストとしてテーマソングも担当。
422,うたの☆プリンスさまっ♪マジLOVEレジェンドスター,http://utapri.tv/,,,,,,
423,タイガーマスクW,http://www.toei-anim.co.jp/tv/tigermask_w/,タイガーマスクW,website,http://www.toei-anim.co.jp/tv/tigermask_w/,http://www.toei-anim.co.jp/tv/tigermask_w/og2.png,,「光のタイガー」「闇のタイガー」２人を待ち受ける戦いと友情の行方は!?初代タイガーマスク伊達直人が残したタイガーマスクの遺産は 新たなレスラーへと受け継がれる…
424,こねこのチー ポンポンらー大冒険,http://chissweethome.com/,,,,,,
425,モンスターハンターストーリーズ　RIDE ON,http://www.mh-stories-rideon.jp/,モンスターハンターストーリーズ　RIDE ON - フジテレビ,article,http://www.mh-stories-rideon.jp/,http://www.mh-stories-rideon.jp/img/fb.png,,オフィシャルサイト。大人気ゲーム『モンスターハンター』シリーズ初のアニメ化！2016年10月よりフジテレビにて 毎週日曜あさ8:30～放送
426,カードファイト!!ヴァンガードG NEXT,http://cf-vanguard.com/information/tgs2016_vg_stage/,,,,,,
427,機動戦士ガンダム 鉄血のオルフェンズ(第2期),http://www.g-tekketsu.com/,機動戦士ガンダム 鉄血のオルフェンズ,website,http://g-tekketsu.com/,http://g-tekketsu.com/logo2nd.jpg,機動戦士ガンダム 鉄血のオルフェンズ,『機動戦士ガンダム 鉄血のオルフェンズ』2016年10月2日より毎週日曜午後5時～MBS/TBS系列全国28局ネットにて放送開始
428,SHOW BY ROCK!!＃,http://showbyrock-anime.com/,,,,,,
429,おくさまが生徒会長!+!,http://www.dreamcreation.co.jp/okusama/,,,,,,
430,マジきゅんっ！ルネッサンス,http://www.magic-kyun.jp/,,,,,,
431,刀剣乱舞-花丸-,http://touken-hanamaru.jp/,アニメ『刀剣乱舞-花丸-』 公式サイト,website,http://touken-hanamaru.jp/,http://touken-hanamaru.jp/images/ogp.jpg,アニメ『刀剣乱舞-花丸-』 公式サイト,「刀剣乱舞-花丸-」2016年10月よりテレビアニメ放送開始！！
432,アイドルメモリーズ,http://idol-memories.com/,TVアニメ「アイドルメモリーズ」公式サイト,website,http://idol-memories.com,http://idol-memories.com/images/ogimage.png,TVアニメ「アイドルメモリーズ」公式サイト,私の夢は、ここ（現実）でも輝く！360°全包囲アイドルアニメ「アイドルメモリーズ」2016年10月 TOKYO MXにて放送開始！
433,あおおに ～じ・あにめぇしょん～,http://aooni-anime.com/tv/,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,website,http://aooni-anime.com/,http://aooni-anime.com/images/og.png,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト,アニメ「あおおに ～じ・あにめぇしょん～」公式サイト 2016年10月テレビ東京・BSジャパンにて放送開始！
434,12歳。～ちっちゃなムネのトキメキ～ セカンドシーズン,http://www.shogakukan.co.jp/pr/12sai/,,,,,,
435,ステラのまほう,http://magicofstella.com/,,,,,,
436,学園ハンサム,http://penet.co.jp/animehandsome/,TVアニメ「学園ハンサム」2016年10月より地上波放送！,website,http://penet.co.jp/animehandsome/,http://penet.co.jp/animehandsome/assets/img/sns2.png,,校門を抜けると、ハンサムだった― 学園恋愛アドベンチャー「学園ハンサム」がTVアニメ化。地上波放送決定！
437,TRICKSTER -江戸川乱歩「少年探偵団」より-,http://trickster-project.com/anime/,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,website,http://trickster-project.com/anime/,http://trickster-project.com/anime/assets/img/ogp.png,TRICKSTER -江戸川乱歩「少年探偵団」より-│TVアニメ公式サイト,死ねる事件、求ム。キャラクターデザインPEACH-PITで贈る、オリジナルアニメーションが2016年10月放送スタート！二人の少年が出会う時、近未来を舞台に、新たな探偵物語が幕を開ける！
438,侍霊演武 SOUL BUSTER,http://soulbuster.jp/,TVアニメ「ソウルバスター」公式サイト,website,http://soulbuster.jp/,http://soulbuster.jp/top/images/body_bg.gif,,
439,信長の忍び,http://nobunaga-no-shinobi.com/,TVアニメ「信長の忍び」,website,http://nobunaga-no-shinobi.com,http://nobunaga-no-shinobi.com/img/fb.jpg,TVアニメ「信長の忍び」,「信長の忍び」2016年 TVアニメ化決定!!
440,装神少女まとい,http://www.matoi-anime.com/,「装神少女まとい」公式サイト,web site,http://matoi-anime.com/,http://matoi-anime.com/img/ogp.png,,
441,夏目友人帳 伍,http://www.natsume-anime.jp/,アニメ　夏目友人帳,website,http://www.natsume-anime.jp,http://www.natsume-anime.jp/ogp.png,アニメ　夏目友人帳,「夏目友人帳 伍」2016年秋放送スタート！
442,美少女遊戯ユニット クレーンゲール Galaxy,http://cranegale.com/,クレーンゲール ギャラクシー｜美少女遊戯ユニット,website,http://cranegale.com/,http://cranegale.com/cms/wp-content/themes/cooljapan/common/img/no-image.jpg,クレーンゲール ギャラクシー｜美少女遊戯ユニット,...
