bases_id,title,public_url,description,keywords,author,og_title,og_type,og_url,og_image,og_site_name,og_description
922,ULTRAMAN,https://anime.heros-ultraman.com/,アニメ『ULTRAMAN』 2019年4月1日、Netflixにて世界同時独占配信開始！ 監督：神山健治×荒牧伸志、制作：Production I.G×SOLA DIGITAL ARTS,"ULTRAMAN.ウルトラマン,清水栄一,下口智裕,神山健治,荒牧伸志,ヒーローズ,HEROS,アニメ",,ULTRAMANアニメ公式サイト,website,https://anime.heros-ultraman.com/,https://anime.heros-ultraman.com/wp/wp-content/themes/anime_heros_ultraman/assets/images/common/ogp_2.png,ULTRAMANアニメ公式サイト,アニメ『ULTRAMAN』 2019年4月1日、Netflixにて世界同時独占配信開始！ 監督：神山健治×荒牧伸志、制作：Production I.G×SOLA DIGITAL ARTS
923,爆丸バトルプラネット,https://www.tv-tokyo.co.jp/anime/bakugan-bp/,テレビ東京系6局ネットにて毎週月曜夕方5時55分～好評放送中！　爆丸バトルプラネットのテレビ東京アニメ公式サイトです。最新情報やストーリー、キャラクター紹介や次回予告などを掲載しています。,"爆丸バトルプラネット,爆丸,ばくがん,モンスター,バトル,オーサムワン,ダン,ドラゴ,スピンマスター,Man of Action,テレビ東京,あにてれ,アニメ,公式",,爆丸バトルプラネット　テレビ東京アニメ公式,website,https://www.tv-tokyo.co.jp/anime/bakugan-bp/,https://www.tv-tokyo.co.jp/anime/bakugan-bp/images/facebook_icon.jpg,,
924,ダイヤのA actII,https://diaace.com/index.html,,,,,tv,http://www.diaace.com,http://www.diaace.com/diaace.png,TVアニメ「ダイヤのA」スペシャルサイト,TVアニメ「ダイヤのA」スペシャルサイト
925,アイドルマスター シンデレラガールズ劇場 CLIMAX SEASON,http://cingeki-anime.com/,ＴＶアニメ「シンデレラガールズ劇場」の公式サイトです。,"アニメ,でれげき,シンデレラガールズ,シンデレラガールズ劇場,アイドルマスター,デレマス,アイマス,デレゲキ,デレ劇",,ＴＶアニメ「シンデレラガールズ劇場」　公式サイト,website,http://cingeki-anime.com/,http://cingeki-anime.com/lib/images/ogp.png,ＴＶアニメ「シンデレラガールズ劇場」　公式サイト,ＴＶアニメ「シンデレラガールズ劇場」の公式サイトです。
926,この世の果てで恋を唄う少女YU-NO,http://yuno-anime.com/,あの伝説のアドベンチャーゲームがついにアニメ化決定！AT-X、TOKYO MXほかにて2019年4月2日(火)より放送開始！,"MAGES.,feel.,GENCO,YU-NO,ユーノ,菅野ひろゆき,林勇,小澤亜李,釘宮理恵,内田真礼,大西沙織,釘宮理恵,小林ゆう,前田玲奈,名塚佳織,楠大典,藤原祐規,江口拓",,TVアニメ「この世の果てで恋を唄う少女YU-NO」公式サイト,website,http://yuno-anime.com/,http://yuno-anime.com/wp/wp-content/themes/yunoanime/img/ogimage3.jpg,TVアニメ「この世の果てで恋を唄う少女YU-NO」公式サイト,あの伝説のアドベンチャーゲームがついにアニメ化決定！AT-X、TOKYO MXほかにて2019年4月2日(火)より放送開始！
927,猫のニャッホ,https://niagho.com/info/tvanime.html,猫のニャッホアニメ2019年4月3日（水）スタート！テレビ東京系「きんだーてれび」にて毎週水曜日朝7:30から,"猫,パズル,ニャッホ,ゴッホ,にゃんこ,ネコ,ねこ,ゲーム,スリーマッチ,マッチスリー,手描き,アプリ,App,iOS,Android,フランス,パリ,画家,芸術,美術,絵画,爽快,癒し,簡単,杉田智和,嘉陽光,板垣優稀,橘諒,相馬優,前川綾香",,【公式】猫のニャッホ 〜ニャ・ミゼラブル〜,website,https://niagho.com,https://niagho.com/img/og_official.png,【公式】猫のニャッホ 〜ニャ・ミゼラブル〜,猫のニャッホアニメ2019年4月3日（水）スタート！テレビ東京系「きんだーてれび」にて毎週水曜日朝7:30から
928,アイカツフレンズ！～かがやきのジュエル～,https://www.tv-tokyo.co.jp/anime/aikatsufriends/,テレビ東京系で毎週木曜夕方6:25～好評放送中！　アイカツフレンズ！のテレビ東京アニメ公式サイトです。最新の情報、ストーリー、キャラクター、スタッフ・キャストなどの情報を掲載しています。,"アイカツフレンズ！,アイカツ,アイドル活動,アイカツ フレンズ,テレビ東京,あにてれ,アニメ,公式",,アイカツフレンズ！　テレビ東京アニメ公式,website,https://www.tv-tokyo.co.jp/anime/aikatsufriends/,https://www.tv-tokyo.co.jp/anime/aikatsufriends/images/facebook_icon.jpg,,
929,八十亀ちゃんかんさつにっき,https://yatogame.nagoya/,"東京育ちの高校生、陣界斗（じんかいと）が転校した先の名古屋で出会ったのは方言丸出しの女子高生「八十亀最中」（やとがめもなか）だった。ネコのような風貌と露骨な名古屋弁を操る八十亀ちゃんは全然懐いてくれず…。かわいい八十亀ちゃんを観察し、名古屋の地位を向上させる、大人気局地コメディ!!がアニメ化 やとがめちゃんかんさつにっき,やとがめちゃん,はちじゅっかめ","やとがめちゃんかんさつにっき,やとがめちゃん,はちじゅっかめ",,TVアニメ「八十亀ちゃんかんさつにっき」,website,https://yatogame.nagoya/,https://yatogame.nagoya/wp-content/uploads/2019/02/20190208_OGP_img.jpg,八十亀ちゃんかんさつにっき,東京育ちの高校生、陣界斗（じんかいと）が転校した先の名古屋で出会ったのは方言丸出しの女子高生「八十亀最中」（やとがめもなか）だった。ネコのような風貌と露骨な名古屋弁を操る八十亀ちゃんは全然懐いてくれず…。かわいい八十亀ちゃんを観察し、名古屋の地位を向上させる、大人気局地コメディ!!がアニメ化
930,叛逆性ミリオンアーサー(第2シーズン),http://hangyakusei-anime.com/,TVアニメ『叛逆性ミリオンアーサー』公式サイト 4月4日（木）より第2シーズン放送スタート！,"ミリアサアニメ,叛逆性,叛逆性アニメ,アニメ叛逆性ミリオンアーサー ",,TVアニメ「叛逆性ミリオンアーサー」公式サイト,website,http://hangyakusei-anime.com/,http://hangyakusei-anime.com/core_sys/images/others/ogp2.jpg,TVアニメ「叛逆性ミリオンアーサー」公式サイト,TVアニメ『叛逆性ミリオンアーサー』公式サイト 4月4日（木）より第2シーズン放送スタート！
931,BAKUMATSUクライシス,http://www.tbs.co.jp/anime/BAKUMATSU/,"TVアニメ「BAKUMATSUクライシス」の公式サイトです。TBS,BS-TBSにて2019年4月4日放送開始","BAKUMATSUクライシス,BAKUMATSU,バククラ,アニメ",TBS,TVアニメ「BAKUMATSUクライシス」公式ホームページ｜TBSテレビ,tv_show,https://www.tbs.co.jp/anime/BAKUMATSU/,https://www.tbs.co.jp/anime/BAKUMATSU/img/ogp.jpg,TBSテレビ,"TVアニメ「BAKUMATSUクライシス」の公式ホームページです。TBS,BS-TBSにて2019年4月4日放送開始"
